"Poczta Polska Tracking","Poczta Polska Tracking"
"Track your package","Track your package"
"Tracking number","Tracking number"
"Package information","Package information"
"Package number","Package number"
"Shipping date","Shipping date"
"Package type","Package type"
"Dispatch country","Dispatch country"
"Country of destination","Country of destination"
"Dispatch office","Dispatch office"
"Event name","Event name"
"Date and time","Date and time"
"Post office","Post office"
"No data is available for this item within the period of the last 30 days.","No data is available for this item within the period of the last 30 days."
"The package ID number is wrong","The package ID number is wrong"
"Error","Error"
